estate,dedicated_path_m_within_800m,pcn_continuous_m,bike_parks_at_mrt,provenance_note
CANBERRA,,4121,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
BOON KENG,,4410,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
WOODLEIGH,,0,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
DOVER,,3062,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
TENGAH,,0,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
TAMPINES WEST,,158,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
TAMPINES EAST,,1299,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
ANG MO KIO,,3108,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
LENTOR,,0,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
SENGKANG,,3670,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
PUNGGOL,,3665,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
YISHUN,,1758,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
HOUGANG,,895,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
CHOA CHU KANG,,3812,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
BUKIT BATOK,,3774,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
BUKIT MERAH,,2449,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
BUKIT PANJANG,,3625,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
GEYLANG,,1622,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
CLEMENTI,,3459,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
CENTRAL AREA,,0,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
BUKIT TIMAH,,825,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
JURONG WEST,,961,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
KALLANG,,4225,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
HOLLAND VILLAGE,,0,,pcn_continuous_m measured from NParks Park Connector Loop (data.gov.sg d_a69ef89737379f231d2ae93fd1c5707f) within 800m of the estate centroid; dedicated_path_m_within_800m unmeasured (OneMap cyclingpath returns a representative point for most features; LTA DataMall needs an account key); bike_parks_at_mrt unmeasured (OneMap bicyclerack returns no results)
